Avis_efficacite_travail_confine,lieu_confinement,variation_temps_travail_conf,nbre_personne_dans_lieu_conf,efficacite_consignes_teletravaildonne_par_employeur,progression_sur_outils_collaboratifs,age,eval_suivi_actualite,frequence_sortir_en_semaine,eval_frequence_interaction_avec_collegues_enconf,evaluation_condition_travail_avant_conf,Consequence_negatives_teletravailconfines,impact_confinnement_relations_avec_confines,nature_travail,nbre_enfants_moins_12,eval_contact_avec_famille,isolation_pour travailler,evaluation_concentration_enconf,avantage_teletravail_confin,fréquence_téletravail_avant_conf,reamenagement_heures_travails_habituels,evaluation_manger,evaluatuin_boire_alcool,evaluation_condition_travail_apres_debut_conf,inquiet_sur_perennite_acauseCovid,taille_entreprise,nbre_resident_enresidence_principal,aimer_continuer_teltravail_enfutur,tempstransport_maison_entreprise,activite_sportif,statut_professionnel,soin_apparence_en_conf,contraries_lies_covid19,genre,acces_surface_exterieur,surface_lieu_confinement,satisfaction_equipement_bureautique,region,cause_distraction,longitude,latitude,nbre_personne_symptem_covid,apprend_de_cette_experience,eval_bien_etre_apres_conf,eval_bien_etre_avant_conf,statut_familial
2,Dans votre domicile,3,1.0,5,Beaucoup,45.0,1,Une fois dans la semaine ou moins,2,4,"Vous avez l'impression de ne jamais vous arrêter de travailler,Les journées en télétravail sont plus fatiguantes",C'est pareil,Manager des équipes ou des projets,0.0,5,Oui,2,"Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,3,4,3,Un peu,Grande entreprise (plus de 5000 salariés),2.0,"Oui, une fois de temps en temps",De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors",Un homme,"Oui, une cour",48.0,4,11,La situation liée au Covid 19,2.50339683029,48.6889749341,4-9 personnes,"A être plus empathique, A faire plus attention à mes proches, A changer mes priorités",3.0,4.0,En couple mais nous ne sommes pas confinés ensemble
2,Dans votre domicile,3,3.0,3,Un peu,58.0,3,Une fois par jour,2,4,"La communication avec vos collègues est moins fluide,Vous vous sentez isolé.e",C'est pareil,Travailler en équipe,0.0,1,Non,3,aucune,Jamais,Non,3,1,3,Non pas du tout,Institution publique,2.0,Non,Moins de 10min,2,Profession intermédiaire,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Grossir",Une femme,"Oui, une terrasse ou un balcon",90.0,4,11,La présence d'autres personnes,2.50339683029,48.6889749341,Aucune,A changer mes priorités,4.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,4,2.0,1,Beaucoup,34.0,4,Une fois dans la semaine ou moins,3,4,"Les journées en télétravail sont plus fatiguantes,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,Travailler en équipe,0.0,3,Oui,3,"Vous êtes plus concentré.e sur votre travail, Vous pouvez faire des pauses dans la journée, Vous dormez mieux, Vous perdez moins de temps dans les transports",Exceptionnellement,Non,4,3,3,Un peu,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, une fois de temps en temps",De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Un homme,Aucun espace extérieur,40.0,3,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.6889749341,1-3 personnes,A changer mes priorités,3.0,3.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,5,4.0,3,Beaucoup,43.0,1,Une fois dans la semaine ou moins,4,4,"Vous avez l'impression de ne jamais vous arrêter de travailler,Les journées en télétravail sont plus fatiguantes,La communication avec vos collègues est moins fluide","Oui, on est plus proches","Travailler en équipe,Vous travaillez seul la plupart du temps",2.0,4,Oui,3,"Vous perdez moins de temps dans les transports, Vous êtes plus concentré.e sur votre travail, Vous interagissez davantage avec les personnes qui vous entourent",1 fois par semaine,Mon travail est plus étalé sur la journée et le soir,3,1,2,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),1.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Un homme,"Oui, un jardin",140.0,2,11,Les interfaces avec les collègues et les réunions,2.50339683029,48.6889749341,4-9 personnes,"A faire plus attention à mes proches, A changer mes priorités",3.0,3.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,1.0,4,Beaucoup,57.0,4,Une fois dans la semaine ou moins,4,4,Les journées en télétravail sont plus fatiguantes,C'est pareil,Manager des équipes ou des projets,0.0,2,Oui,3,"Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports, Vous en profitez pour apprendre de nouvelles choses, Votre entreprise s'organise mieux",Jamais,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,3,4,Non pas du tout,Institution publique,2.0,"Oui, une fois de temps en temps",De 10 à 30min,3,Cadre ou profession intellectuelle supérieure,2,"La santé de vos proches,Les gens qui sortent,la quarantaine devrait être plus stricte,Ne pas pouvoir sortir dehors",Une femme,"Oui, un jardin",65.0,4,11,"La situation liée au Covid 19,Vous regardez très régulièrement l'actualité",2.50339683029,48.6889749341,1-3 personnes,"A télétravailler, A changer mes priorités",4.0,4.0,Célibataire
3,Dans votre domicile,1,2.0,5,"Non, je les utilisais déjà beaucoup",29.0,5,Une fois dans la semaine ou moins,3,3,"C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent",C'est pareil,Travailler en équipe,0.0,4,Oui,2,"Vous avez davantage de temps libre, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",1 fois par semaine,Non,3,1,4,Un peu,Petite et moyenne entreprise (10 à 250 salariés),2.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,4,"Les gens qui sortent,la quarantaine devrait être plus stricte,Avoir des projets annulés,Ne pas pouvoir utiliser mes véhicules perso",Une femme,"Oui, une cour",56.0,4,11,"La situation liée au Covid 19,Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité",2.50339683029,48.6889749341,Aucune,"A télétravailler, A faire plus attention à mes proches",3.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,2,2.0,5,"Non, je les utilisais déjà beaucoup",28.0,1,Une fois dans la semaine ou moins,5,5,La communication avec vos collègues est moins fluide,C'est pareil,Manager des équipes ou des projets,0.0,4,Non,3,"Vous avez davantage de temps libre, Vous pouvez vous habiller comme vous voulez, Vous dormez mieux, Vous perdez moins de temps dans les transports, Vous interagissez davantage avec les personnes qui vous entourent",Exceptionnellement,Non,3,4,4,Non pas du tout,Grande entreprise (plus de 5000 salariés),2.0,"Oui, le plus possible",De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Une femme,"Oui, une cour",56.0,5,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.6889749341,Aucune,A faire plus attention à mes proches,3.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,1,1.0,3,"Non, je ne les utilise pas",28.0,3,Un jour sur deux ou moins,1,5,"Vous vous sentez isolé.e,C'est difficile de se concentrer",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,4,Oui,1,Vous pouvez faire des pauses dans la journée,Jamais,Mon travail est plus étalé sur la journée et le soir,4,2,1,Non pas du tout,Institution publique,2.0,Non,De 10 à 30min,3,Cadre ou profession intellectuelle supérieure,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,Grossir,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau,Vous vous sentez seul.e,Vous dormez mal",Une femme,Aucun espace extérieur,35.0,4,11,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,2.50339683029,48.6889749341,Aucune,La frustration,2.0,4.0,Célibataire
3,Chez un membre de votre famille,4,2.0,5,"Non, je les utilisais déjà beaucoup",55.0,5,Un jour sur deux ou moins,2,4,"La communication avec vos collègues est moins fluide,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,C'est difficile de se concentrer","Oui, on est plus proches",Travailler en équipe,0.0,5,Non,4,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",1 fois par semaine,"Mon travail est plus étalé sur la journée, le soir et même le weekend",4,3,4,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),1.0,"Oui, le plus possible",De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,Grossir",Un homme,"Oui, une terrasse ou un balcon",60.0,5,11,"La situation liée au Covid 19,Les interactions à distance avec vos proches,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères",2.50339683029,48.6889749341,1-3 personnes,A faire plus attention à mes proches,3.0,4.0,En couple mais nous ne sommes pas confinés ensemble
3,Chez un membre de votre famille,4,4.0,4,Un peu,26.0,3,Une fois dans la semaine ou moins,2,4,"Vous vous sentez isolé.e,La communication avec vos collègues est moins fluide,C'est difficile de se concentrer",C'est pareil,"Travailler en équipe,Manager des équipes ou des projets",0.0,4,Oui,3,"Vous dormez mieux, Vous perdez moins de temps dans les transports, Votre entreprise s'organise mieux, Vous avez davantage de temps libre",Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,2,1,4,Non pas du tout,Grande entreprise (plus de 5000 salariés),4.0,Non,De 10 à 30min,3,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,La santé de vos proches",Une femme,"Oui, une terrasse ou un balcon",80.0,3,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.6889749341,Aucune,"A faire plus attention à mes proches, A être plus autonome",2.0,4.0,Célibataire
2,Dans votre domicile,2,2.0,2,Beaucoup,32.0,4,Un jour sur deux ou moins,4,4,"Les journées en télétravail sont plus fatiguantes,C'est difficile de se concentrer,La communication avec vos collègues est moins fluide,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent","Non, nos relations se détériorent légèrement",Travailler en équipe,0.0,4,Non,2,"Vous en profitez pour apprendre de nouvelles choses, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous dormez mieux, Vous perdez moins de temps dans les transports",Jamais,Mon travail est plus étalé sur la journée,3,1,3,Un peu,Très petite entreprise (moins de 10 salariés),2.0,"Oui, une fois de temps en temps",Moins de 10min,1,Cadre ou profession intellectuelle supérieure,2,"La santé de vos proches,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir aller chez le coiffeur,Ne pas pouvoir aller au bureau",Un homme,Aucun espace extérieur,42.0,3,11,"La situation liée au Covid 19,La présence d'autres personnes,Les tâches ménagères",2.50339683029,48.6889749341,1-3 personnes,"A télétravailler, A être plus autonome, A changer mes priorités",4.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,3,2.0,3,Un peu,33.0,3,Une fois dans la semaine ou moins,4,3,"Vous avez l'impression de ne jamais vous arrêter de travailler,La communication avec vos collègues est moins fluide",C'est pareil,"Travailler en équipe,Manager des équipes ou des projets",0.0,3,Je n'en ai pas besoin,4,"Vous pouvez vous habiller comme vous voulez, Vous dormez mieux",Jamais,Non,3,2,2,Non pas du tout,Institution publique,1.0,Non,De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Grossir,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Je vais rester célibataire à vie",Une femme,Aucun espace extérieur,59.0,1,11,"La présence d'autres personnes,Vous n'êtes pas particulièrement distrait.e",2.50339683029,48.6889749341,Aucune,"A télétravailler, A changer mes priorités, A réfléchir aux systèmes de gouvernance",2.0,2.0,Célibataire
3,Chez un membre de votre famille,3,4.0,5,Un peu,33.0,2,Une fois dans la semaine ou moins,2,5,La communication avec vos collègues est moins fluide,C'est pareil,Vous travaillez seul la plupart du temps,0.0,4,Oui,3,"Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",Jamais,Non,3,2,4,Non pas du tout,Institution publique,2.0,Non,De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Un homme,"Oui, un jardin",200.0,4,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.6889749341,4-9 personnes,"A télétravailler, A faire plus attention à mes proches",3.0,3.0,En couple mais nous ne sommes pas confinés ensemble
3,Dans votre domicile,3,3.0,3,"Non, je les utilisais déjà beaucoup",48.0,5,Une fois dans la semaine ou moins,5,4,La communication avec vos collègues est moins fluide,"Oui, on est plus proches",Vous travaillez seul la plupart du temps,0.0,3,Non,3,"Vous perdez moins de temps dans les transports, Vous dormez mieux, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez vous habiller comme vous voulez",2 fois par semaine ou plus,Non,3,3,4,Non pas du tout,Grande entreprise (plus de 5000 salariés),3.0,"Oui, le plus possible",Plus d'une heure,3,Employé,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Avoir des projets annulés",Une femme,"Oui, une terrasse ou un balcon",69.0,4,11,Vous regardez très régulièrement l'actualité,2.50339683029,48.6889749341,Aucune,A changer mes priorités,4.0,3.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,5,4.0,4,"Non, je les utilisais déjà beaucoup",30.0,4,Une fois dans la semaine ou moins,3,3,Vous avez l'impression de ne jamais vous arrêter de travailler,C'est pareil,Travailler en équipe,0.0,3,Oui,5,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous dormez mieux, Vous perdez moins de temps dans les transports",1 fois par semaine,Non,3,3,4,Non pas du tout,Grande entreprise (plus de 5000 salariés),4.0,"Oui, le plus possible",Plus d'une heure,3,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Une femme,"Oui, un jardin",100.0,4,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.6889749341,Plus de 10 personnes,A faire plus attention à mes proches,4.0,3.0,En couple et nous sommes confinés ensemble
5,Chez un membre de votre famille,5,4.0,5,Beaucoup,34.0,5,Une fois par jour,5,3,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,"Non, nos relations se détériorent légèrement",Travailler en équipe,4.0,5,Non,5,Vous ressentez moins de pression professionnelle et êtes plus détendu.e,Jamais,Mon travail est plus étalé sur la journée et le soir,5,5,2,Enormément,Petite et moyenne entreprise (10 à 250 salariés),4.0,"Oui, le plus possible",De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,3,"La santé de vos proches,Ne pas pouvoir aller au bureau,Vous dormez mal,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Une femme,"Oui, une terrasse ou un balcon",50.0,5,11,Les interactions à distance avec vos proches,2.50339683029,48.6889749341,Aucune,"A changer mes priorités, A être plus empathique",2.0,5.0,En couple et nous sommes confinés ensemble
